iter	Passed	Remaining
0	180	180481
1	185	92565
2	190	63240
3	194	48549
4	199	39672
5	203	33719
6	208	29511
7	212	26357
8	217	23944
9	221	21975
10	226	20387
11	231	19057
12	236	17924
13	240	16955
14	245	16108
15	249	15373
16	254	14731
17	259	14156
18	263	13590
19	266	13044
20	269	12557
21	271	12081
22	274	11647
23	276	11244
24	278	10860
25	280	10502
26	282	10167
27	284	9861
28	285	9563
29	287	9281
30	288	9024
31	290	8774
32	291	8546
33	297	8443
34	303	8372
35	308	8261
36	311	8112
37	314	7972
38	317	7827
39	320	7682
40	322	7545
41	324	7408
42	326	7267
43	328	7134
44	330	7009
45	332	6888
46	333	6764
47	334	6643
48	336	6531
49	338	6430
50	340	6337
51	342	6240
52	344	6147
53	345	6054
54	347	5967
55	349	5896
56	358	5930
57	363	5904
58	366	5851
59	370	5796
60	372	5740
61	375	5677
62	377	5618
63	380	5558
64	382	5495
65	383	5433
66	385	5372
67	386	5300
68	388	5242
69	390	5183
70	391	5124
71	393	5066
72	394	5009
73	395	4954
74	402	4963
75	408	4966
76	413	4953
77	416	4921
78	419	4890
79	422	4855
80	424	4815
81	426	4778
82	429	4741
83	431	4703
84	432	4657
85	434	4619
86	435	4574
87	437	4535
88	439	4495
89	440	4456
90	442	4418
91	443	4381
92	447	4363
93	455	4387
94	459	4376
95	462	4359
96	466	4338
97	469	4317
98	471	4290
99	473	4264
100	476	4238
101	477	4202
102	479	4172
103	480	4143
104	482	4115
105	484	4087
106	486	4057
107	487	4028
108	489	3999
109	490	3970
110	492	3942
111	500	3967
112	505	3965
113	509	3961
114	512	3944
115	515	3926
116	518	3910
117	520	3889
118	522	3865
119	524	3848
120	526	3825
121	528	3803
122	529	3775
123	531	3754
124	533	3731
125	534	3708
126	535	3684
127	536	3657
128	538	3635
129	539	3612
130	542	3599
131	550	3623
132	555	3621
133	559	3613
134	563	3613
135	569	3617
136	577	3639
137	582	3637
138	585	3626
139	588	3614
140	591	3600
141	593	3585
142	595	3569
143	597	3554
144	599	3536
145	601	3518
146	603	3500
147	605	3483
148	607	3466
149	608	3448
150	610	3430
151	611	3411
152	613	3393
153	614	3376
154	624	3403
155	629	3407
156	633	3399
157	636	3392
158	639	3381
159	641	3369
160	644	3358
161	646	3344
162	648	3330
163	650	3316
164	652	3303
165	654	3289
166	656	3274
167	657	3258
168	659	3242
169	661	3227
170	662	3212
171	672	3238
172	677	3240
173	681	3236
174	685	3231
175	688	3222
176	690	3212
177	693	3202
178	695	3190
179	697	3179
180	698	3162
181	700	3149
182	702	3137
183	704	3123
184	705	3109
185	707	3096
186	709	3084
187	718	3102
188	722	3098
189	725	3093
190	728	3085
191	730	3075
192	733	3066
193	735	3056
194	737	3044
195	739	3033
196	741	3022
197	743	3009
198	744	2997
199	746	2984
200	747	2972
201	749	2959
202	750	2947
203	751	2934
204	756	2933
205	764	2944
206	768	2942
207	771	2938
208	775	2933
209	777	2925
210	779	2916
211	782	2908
212	784	2898
213	786	2888
214	788	2878
215	790	2868
216	791	2857
217	793	2846
218	795	2835
219	796	2824
220	798	2813
221	799	2801
222	808	2818
223	813	2818
224	817	2814
225	820	2809
226	823	2803
227	825	2795
228	827	2787
229	830	2779
230	832	2770
231	834	2761
232	836	2752
233	837	2742
234	839	2733
235	841	2723
236	842	2712
237	844	2702
238	845	2692
239	847	2682
240	848	2673
241	857	2685
242	861	2684
243	865	2680
244	868	2677
245	872	2673
246	874	2665
247	876	2657
248	878	2649
249	880	2641
250	882	2632
251	884	2624
252	886	2616
253	887	2607
254	891	2603
255	898	2612
256	903	2613
257	906	2607
258	909	2602
259	912	2596
260	914	2589
261	916	2582
262	919	2576
263	921	2568
264	923	2560
265	925	2552
266	926	2544
267	928	2535
268	930	2527
269	934	2527
270	942	2534
271	945	2530
272	949	2527
273	952	2522
274	954	2516
275	957	2510
276	959	2504
277	961	2497
278	971	2509
279	976	2510
280	979	2506
281	982	2502
282	985	2496
283	987	2490
284	990	2484
285	992	2478
286	995	2474
287	997	2466
288	999	2458
289	1000	2450
290	1002	2443
291	1004	2435
292	1005	2427
293	1012	2432
294	1018	2433
295	1022	2430
296	1025	2427
297	1027	2421
298	1030	2416
299	1032	2409
300	1034	2403
301	1040	2404
302	1047	2410
303	1052	2410
304	1055	2406
305	1058	2400
306	1060	2394
307	1063	2388
308	1065	2382
309	1067	2376
310	1069	2370
311	1071	2363
312	1073	2355
313	1074	2347
314	1076	2339
315	1077	2332
316	1078	2324
317	1080	2316
318	1087	2322
319	1093	2322
320	1097	2321
321	1100	2317
322	1104	2314
323	1106	2308
324	1108	2302
325	1111	2298
326	1114	2292
327	1116	2286
328	1117	2279
329	1119	2273
330	1121	2266
331	1122	2259
332	1141	2286
333	1144	2283
334	1147	2278
335	1149	2272
336	1152	2266
337	1154	2260
338	1156	2254
339	1158	2248
340	1160	2242
341	1162	2236
342	1163	2228
343	1165	2221
344	1166	2214
345	1168	2207
346	1169	2200
347	1178	2207
348	1183	2207
349	1187	2206
350	1191	2202
351	1194	2198
352	1196	2193
353	1199	2188
354	1201	2183
355	1203	2177
356	1205	2171
357	1207	2165
358	1209	2160
359	1211	2153
360	1212	2146
361	1214	2140
362	1215	2133
363	1223	2138
364	1227	2136
365	1231	2132
366	1234	2128
367	1236	2123
368	1239	2118
369	1241	2113
370	1243	2108
371	1245	2102
372	1247	2096
373	1249	2091
374	1250	2084
375	1252	2078
376	1254	2072
377	1255	2066
378	1257	2059
379	1262	2059
380	1269	2062
381	1274	2061
382	1278	2059
383	1281	2055
384	1283	2050
385	1286	2046
386	1288	2041
387	1291	2036
388	1293	2031
389	1295	2025
390	1297	2020
391	1298	2014
392	1300	2008
393	1301	2002
394	1303	1996
395	1305	1991
396	1314	1996
397	1319	1995
398	1323	1993
399	1326	1990
400	1329	1986
401	1332	1982
402	1335	1978
403	1337	1973
404	1339	1968
405	1341	1963
406	1343	1957
407	1345	1952
408	1347	1946
409	1348	1940
410	1350	1935
411	1351	1929
412	1353	1923
413	1362	1929
414	1368	1928
415	1372	1926
416	1375	1923
417	1378	1919
418	1381	1915
419	1383	1910
420	1386	1906
421	1388	1901
422	1390	1896
423	1392	1891
424	1394	1886
425	1396	1881
426	1397	1875
427	1399	1870
428	1400	1864
429	1402	1858
430	1403	1853
431	1414	1859
432	1418	1858
433	1422	1854
434	1426	1852
435	1428	1848
436	1431	1843
437	1433	1839
438	1435	1834
439	1437	1829
440	1439	1825
441	1441	1820
442	1443	1815
443	1445	1809
444	1446	1804
445	1448	1798
446	1449	1793
447	1451	1788
448	1462	1794
449	1466	1792
450	1470	1790
451	1474	1787
452	1477	1783
453	1479	1779
454	1481	1774
455	1483	1770
456	1489	1769
457	1496	1770
458	1500	1769
459	1504	1765
460	1507	1762
461	1510	1758
462	1512	1754
463	1515	1750
464	1517	1745
465	1526	1749
466	1531	1748
467	1535	1745
468	1538	1742
469	1541	1738
470	1543	1734
471	1546	1729
472	1548	1725
473	1550	1720
474	1552	1715
475	1554	1711
476	1556	1706
477	1557	1701
478	1563	1700
479	1569	1700
480	1573	1698
481	1577	1695
