iter	Passed	Remaining
0	159	159442
1	165	82531
2	171	56861
3	175	43750
4	180	35944
5	186	30814
6	191	27177
7	199	24686
8	204	22476
9	209	20720
10	214	19282
11	219	18086
12	224	17070
13	230	16204
14	234	15378
15	237	14605
16	240	13914
17	242	13252
18	245	12664
19	247	12133
20	250	11658
21	252	11206
22	253	10785
23	255	10398
24	257	10031
25	258	9692
26	260	9372
27	261	9081
28	263	8808
29	264	8558
30	266	8316
31	267	8085
32	268	7869
33	269	7665
34	271	7474
35	272	7289
36	273	7112
37	274	6945
38	275	6786
39	276	6635
40	281	6573
41	287	6555
42	290	6463
43	295	6416
44	297	6317
45	300	6223
46	302	6127
47	304	6031
48	305	5937
49	308	5856
50	309	5764
51	311	5676
52	312	5587
53	314	5504
54	315	5422
55	316	5342
56	318	5261
57	319	5183
58	321	5119
59	322	5048
60	323	4979
61	324	4912
62	325	4845
63	326	4780
64	327	4717
65	329	4655
66	330	4595
67	331	4537
68	337	4560
69	343	4563
70	348	4557
71	351	4531
72	354	4504
73	357	4471
74	359	4435
75	362	4401
76	364	4367
77	366	4330
78	368	4291
79	370	4255
80	371	4217
81	373	4177
82	374	4132
83	375	4093
84	376	4055
85	378	4021
86	379	3985
87	381	3950
88	382	3914
89	383	3879
90	385	3846
91	386	3811
92	387	3778
93	388	3744
94	389	3710
95	390	3678
96	391	3645
97	399	3677
98	404	3677
99	407	3665
100	410	3655
101	412	3634
102	415	3615
103	417	3595
104	419	3573
105	420	3550
106	422	3530
107	424	3509
108	426	3487
109	428	3463
110	429	3440
111	431	3418
112	432	3396
113	434	3373
114	435	3349
115	436	3326
116	437	3304
117	439	3282
118	440	3260
119	441	3239
120	442	3216
121	443	3193
122	444	3172
123	446	3151
124	447	3129
125	452	3137
126	459	3161
127	462	3153
128	465	3144
129	468	3132
130	471	3126
131	473	3114
132	475	3098
133	476	3082
134	478	3068
135	481	3056
136	482	3040
137	484	3024
138	485	3006
139	486	2989
140	487	2972
141	488	2953
142	490	2936
143	491	2919
144	492	2903
145	493	2886
146	494	2870
147	496	2857
148	497	2842
149	498	2826
150	499	2810
151	500	2794
152	501	2778
153	503	2763
154	504	2748
155	506	2740
156	514	2763
157	519	2768
158	522	2764
159	526	2763
160	528	2753
161	530	2744
162	532	2736
163	535	2728
164	537	2718
165	539	2710
166	541	2701
167	543	2690
168	544	2678
169	546	2666
170	547	2655
171	548	2642
172	550	2630
173	551	2618
174	553	2609
175	555	2598
176	556	2586
177	557	2574
178	558	2561
179	559	2549
180	560	2536
181	561	2525
182	566	2527
183	574	2546
184	577	2545
185	581	2542
186	584	2542
187	587	2537
188	589	2529
189	591	2521
190	593	2512
191	594	2503
192	597	2498
193	599	2490
194	600	2480
195	602	2470
196	603	2460
197	605	2451
198	606	2441
199	607	2430
200	608	2420
201	609	2409
202	611	2402
203	613	2393
204	614	2383
205	615	2373
206	616	2363
207	617	2352
208	618	2342
209	619	2332
210	621	2322
211	622	2312
212	623	2302
213	632	2322
214	637	2327
215	641	2328
216	644	2326
217	647	2321
218	649	2314
219	650	2308
220	653	2302
221	655	2298
222	658	2293
223	660	2287
224	661	2279
225	663	2271
226	664	2263
227	665	2254
228	667	2245
229	668	2237
230	670	2233
231	672	2225
232	673	2216
233	674	2207
234	675	2199
235	676	2191
236	678	2183
237	679	2173
238	679	2165
239	680	2156
240	682	2147
241	683	2139
242	690	2150
243	694	2152
244	697	2149
245	701	2149
246	704	2146
247	706	2141
248	708	2136
249	710	2130
250	711	2124
251	714	2119
252	716	2114
253	717	2107
254	719	2100
255	720	2093
256	721	2086
257	723	2079
258	724	2072
259	725	2065
260	727	2059
261	729	2054
262	730	2047
263	731	2039
264	732	2032
265	733	2024
266	734	2017
267	735	2009
268	736	2002
269	737	1995
270	738	1987
271	739	1980
272	743	1978
273	751	1991
274	756	1994
275	760	1995
276	763	1993
277	766	1990
278	768	1986
279	770	1982
280	772	1977
281	774	1972
282	776	1967
283	778	1961
284	780	1956
285	781	1951
286	782	1944
287	784	1938
288	785	1932
289	787	1927
290	788	1921
291	790	1915
292	791	1909
293	792	1902
294	793	1896
295	794	1890
296	796	1884
297	797	1878
298	798	1871
299	799	1864
300	800	1858
301	810	1872
302	814	1872
303	818	1873
304	821	1870
305	823	1867
306	825	1863
307	827	1860
308	829	1855
309	831	1851
310	833	1847
311	835	1842
312	836	1836
313	838	1831
314	839	1825
315	840	1820
316	842	1814
317	843	1809
318	845	1804
319	846	1799
320	847	1793
321	848	1787
322	850	1781
323	851	1776
324	852	1770
325	853	1764
326	866	1782
327	870	1782
328	873	1780
329	879	1784
330	881	1781
331	883	1777
332	885	1774
333	887	1769
334	889	1765
335	891	1762
336	893	1757
337	894	1752
338	896	1747
339	897	1742
340	898	1736
341	900	1731
342	901	1726
343	902	1721
344	903	1715
345	905	1711
346	906	1705
347	907	1701
348	908	1695
349	913	1696
350	920	1702
351	925	1703
352	927	1700
353	930	1698
354	933	1696
355	936	1693
356	938	1690
357	940	1686
358	942	1682
359	943	1677
360	945	1673
361	947	1669
362	949	1665
363	950	1661
364	952	1656
365	953	1652
366	955	1647
367	956	1642
368	957	1637
369	959	1632
370	960	1627
371	961	1622
372	962	1618
373	964	1614
374	973	1622
375	978	1623
376	981	1622
377	984	1619
378	986	1617
379	989	1614
380	991	1611
381	995	1609
382	997	1606
383	999	1603
384	1001	1599
385	1003	1596
386	1005	1591
387	1008	1591
388	1011	1589
389	1013	1585
390	1015	1581
391	1017	1577
392	1018	1573
393	1020	1568
394	1022	1565
395	1023	1561
396	1034	1571
397	1039	1572
398	1042	1570
399	1045	1567
400	1047	1564
401	1049	1560
402	1051	1557
403	1054	1556
404	1056	1552
405	1058	1548
406	1059	1544
407	1061	1539
408	1062	1535
409	1063	1530
410	1065	1526
411	1067	1523
412	1069	1519
413	1070	1515
414	1072	1511
415	1074	1508
416	1075	1503
417	1076	1499
418	1088	1508
419	1092	1508
420	1098	1510
421	1100	1507
422	1102	1504
423	1104	1500
424	1106	1497
425	1108	1493
426	1109	1489
427	1112	1486
428	1113	1482
429	1115	1478
430	1116	1474
431	1118	1470
432	1120	1466
433	1121	1463
434	1123	1459
435	1124	1454
436	1126	1451
437	1128	1448
438	1129	1443
439	1130	1439
440	1131	1434
441	1133	1430
442	1134	1425
443	1135	1421
444	1143	1426
445	1148	1426
446	1151	1424
447	1154	1422
448	1157	1420
449	1159	1417
450	1161	1414
451	1163	1410
452	1165	1407
453	1167	1403
454	1168	1400
455	1170	1396
456	1172	1393
457	1174	1389
458	1175	1385
459	1177	1381
460	1178	1377
461	1179	1373
462	1180	1369
463	1182	1365
464	1183	1361
465	1185	1358
466	1186	1354
467	1187	1350
468	1188	1345
469	1189	1341
470	1190	1337
471	1191	1333
472	1193	1329
473	1194	1325
474	1203	1329
475	1207	1329
476	1211	1328
477	1214	1326
478	1216	1323
479	1219	1320
480	1221	1317
481	1223	1314
482	1225	1311
483	1227	1308
484	1229	1306
485	1231	1302
486	1233	1299
487	1234	1295
488	1236	1291
489	1237	1288
490	1238	1284
491	1240	1280
492	1241	1277
493	1243	1273
494	1244	1269
495	1245	1265
496	1247	1262
497	1248	1258
498	1249	1254
499	1250	1250
500	1251	1246
501	1252	1242
502	1253	1238
503	1254	1234
504	1255	1230
505	1256	1227
506	1265	1230
507	1270	1230
508	1275	1230
509	1278	1228
510	1281	1225
511	1283	1223
512	1285	1220
513	1288	1218
514	1290	1215
515	1292	1211
516	1293	1208
517	1295	1205
518	1297	1202
519	1298	1198
520	1299	1195
521	1301	1191
522	1303	1188
523	1304	1185
524	1305	1181
525	1306	1177
526	1308	1173
527	1309	1170
528	1310	1166
529	1311	1163
530	1313	1159
531	1314	1156
532	1315	1152
533	1316	1148
534	1317	1144
535	1318	1141
536	1319	1137
537	1320	1134
538	1321	1130
539	1330	1133
540	1335	1132
541	1339	1132
542	1343	1130
543	1346	1128
544	1348	1126
545	1351	1123
546	1353	1120
547	1355	1118
548	1357	1115
549	1359	1112
550	1361	1109
551	1362	1106
552	1364	1102
553	1365	1099
554	1367	1096
555	1369	1093
556	1370	1089
557	1371	1086
558	1372	1082
559	1373	1079
560	1374	1075
561	1375	1072
562	1377	1068
563	1378	1065
564	1379	1061
565	1380	1058
566	1381	1054
567	1387	1055
568	1393	1055
569	1397	1053
570	1401	1052
571	1403	1050
572	1405	1047
573	1408	1045
574	1410	1042
575	1412	1039
576	1414	1036
577	1415	1033
578	1417	1030
579	1418	1027
580	1420	1024
581	1421	1021
582	1423	1017
583	1424	1014
584	1425	1011
585	1427	1008
586	1429	1005
587	1430	1002
588	1431	998
589	1432	995
590	1433	992
591	1435	989
592	1436	985
593	1437	982
594	1438	978
595	1439	975
596	1440	972
597	1450	975
598	1455	974
599	1458	972
600	1461	970
601	1464	968
602	1466	965
603	1468	963
604	1471	960
605	1473	957
606	1474	954
607	1476	951
608	1478	949
609	1479	946
610	1481	942
611	1482	939
612	1483	936
613	1485	933
614	1487	931
615	1488	928
616	1489	924
617	1491	921
618	1492	918
619	1493	915
620	1494	912
621	1495	909
622	1497	905
623	1498	902
624	1504	902
625	1510	902
626	1513	900
627	1516	898
628	1519	896
629	1522	893
630	1524	891
631	1526	888
632	1528	886
633	1531	883
634	1532	881
635	1535	878
636	1538	876
637	1541	874
638	1544	872
